source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,0.01,0.0,C6,0.03913043478260869,0.05565217391304349,-0.4530434782608695,-0.1284005402276674
cachedE20_full,dmean,0.01,0.0,C7,0.148695652173913,0.20434782608695648,-0.04521739130434779,0.10888160010290052
cachedE20_full,dmean,0.01,0.0,C8,0.4321739130434782,-0.5304347826086956,-0.10173913043478261,-0.06559907389542735
cachedE20_full,dmean,0.01,0.0,C9,-0.19043478260869562,0.21217391304347824,0.0034782608695652084,-0.0551160846356679
cachedE20_full,dmean,0.01,0.5,C1,-0.4930434782608694,-0.35739130434782607,0.3930434782608695,-0.20264968808283496
cachedE20_full,dmean,0.01,0.5,C2,-0.34782608695652173,-0.13999999999999996,-0.013913043478260834,-0.12232297896970869
cachedE20_full,dmean,0.01,0.5,C3,-0.26956521739130435,0.46086956521739125,-0.43391304347826076,-0.09270692649044956
cachedE20_full,dmean,0.01,0.5,C4,-0.1417391304347826,-0.9565217391304346,-0.2747826086956521,-0.4878448774840827
cachedE20_full,dmean,0.01,0.5,C5,-0.22000000000000006,0.020000000000000004,-0.37478260869565216,-0.2350633481252814
cachedE20_full,dmean,0.01,0.5,C6,-0.049565217391304345,0.08782608695652173,-0.4634782608695652,-0.15126374686475016
cachedE20_full,dmean,0.01,0.5,C7,0.08869565217391301,0.3034782608695652,0.05913043478260874,0.16882114605440868
cachedE20_full,dmean,0.01,0.5,C8,0.27826086956521734,-0.5173913043478261,-0.02260869565217391,-0.11045726413274168
cachedE20_full,dmean,0.01,0.5,C9,-0.08434782608695651,0.06521739130434781,-0.05391304347826087,-0.06743198919544666
cachedE20_full,dmean,0.01,1.0,C1,-0.4852173913043477,-0.2626086956521739,0.31652173913043474,-0.19245610650202588
cachedE20_full,dmean,0.01,1.0,C2,-0.27217391304347827,-0.14695652173913037,0.21565217391304348,-0.03768731108109847
cachedE20_full,dmean,0.01,1.0,C3,-0.2121739130434782,0.4634782608695652,-0.5121739130434781,-0.05350826419705451
cachedE20_full,dmean,0.01,1.0,C4,-0.2060869565217391,-0.9669565217391305,-0.46434782608695646,-0.5358865521898516
cachedE20_full,dmean,0.01,1.0,C5,-0.33826086956521745,0.20956521739130432,-0.43478260869565216,-0.2100778185092289
cachedE20_full,dmean,0.01,1.0,C6,-0.15826086956521737,0.15130434782608695,-0.5069565217391304,-0.16531609749823145
cachedE20_full,dmean,0.01,1.0,C7,0.1156521739130435,0.3713043478260869,0.202608695652174,0.2320406457006882
cachedE20_full,dmean,0.01,1.0,C8,0.14608695652173914,-0.4347826086956521,0.05304347826086955,-0.1119686153450383
cachedE20_full,dmean,0.01,1.0,C9,-0.14086956521739127,0.008695652173913049,-0.06260869565217392,-0.08675799086757992
cachedE20_full,unitL2,inf,0.0,C1,0.0,0.0,0.0,0.0
cachedE20_full,unitL2,inf,0.0,C2,0.0,0.0,0.0,0.0
cachedE20_full,unitL2,inf,0.0,C3,0.0,0.0,0.0,0.0
cachedE20_full,unitL2,inf,0.0,C4,0.0,0.0,0.0,0.0
cachedE20_full,unitL2,inf,0.0,C5,0.0,0.0,0.0,0.0
